Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
1990,76,BRA,3100.280468,3100.280468,3100.280468,149650830,149650830,149650830,6.077067237,6.077067237,6.077067237
1990,77,BRA,3100.280468,3100.280468,3100.280468,149650830,149650830,149650830,6.077067237,6.077067237,6.077067237
1990,969,BRA,3100.280468,3100.280468,3100.280468,149650830,149650830,149650830,6.077067237,6.077067237,6.077067237
1990,970,BRA,3100.280468,3100.280468,3100.280468,149650830,149650830,149650830,6.077067237,6.077067237,6.077067237
1991,76,BRA,3975.390089,3975.390089,3975.390089,152128283,152128283,152128283,6.498764382,6.498764382,6.498764382
1991,77,BRA,3975.390089,3975.390089,3975.390089,152128283,152128283,152128283,6.498764382,6.498764382,6.498764382
1991,969,BRA,3975.390089,3975.390089,3975.390089,152128283,152128283,152128283,6.498764382,6.498764382,6.498764382
1991,970,BRA,3975.390089,3975.390089,3975.390089,152128283,152128283,152128283,6.498764382,6.498764382,6.498764382
1992,76,BRA,2596.919876,2596.919876,2596.919876,154605736,154605736,154605736,5.793380674,5.793380674,5.793380674
1992,77,BRA,2596.919876,2596.919876,2596.919876,154605736,154605736,154605736,5.793380674,5.793380674,5.793380674
1992,969,BRA,2596.919876,2596.919876,2596.919876,154605736,154605736,154605736,5.793380674,5.793380674,5.793380674
1992,970,BRA,2596.919876,2596.919876,2596.919876,154605736,154605736,154605736,5.793380674,5.793380674,5.793380674
1993,76,BRA,2791.209124,2791.209124,2791.209124,157083189,157083189,157083189,5.907274009,5.907274009,5.907274009
1993,77,BRA,2791.209124,2791.209124,2791.209124,157083189,157083189,157083189,5.907274009,5.907274009,5.907274009
1993,969,BRA,2791.209124,2791.209124,2791.209124,157083189,157083189,157083189,5.907274009,5.907274009,5.907274009
1993,970,BRA,2791.209124,2791.209124,2791.209124,157083189,157083189,157083189,5.907274009,5.907274009,5.907274009
1994,76,BRA,3500.61149,3500.61149,3500.61149,159560642,159560642,159560642,6.279514625,6.279514625,6.279514625
1994,77,BRA,3500.61149,3500.61149,3500.61149,159560642,159560642,159560642,6.279514625,6.279514625,6.279514625
1994,969,BRA,3500.61149,3500.61149,3500.61149,159560642,159560642,159560642,6.279514625,6.279514625,6.279514625
1994,970,BRA,3500.61149,3500.61149,3500.61149,159560642,159560642,159560642,6.279514625,6.279514625,6.279514625
1995,76,BRA,4748.215529,4748.215529,4748.215529,162038095,162038095,162038095,6.817873793,6.817873793,6.817873793
1995,77,BRA,4748.215529,4748.215529,4748.215529,162038095,162038095,162038095,6.817873793,6.817873793,6.817873793
1995,969,BRA,4748.215529,4748.215529,4748.215529,162038095,162038095,162038095,6.817873793,6.817873793,6.817873793
1995,970,BRA,4748.215529,4748.215529,4748.215529,162038095,162038095,162038095,6.817873793,6.817873793,6.817873793
1996,76,BRA,5166.163745,5166.163745,5166.163745,164515548,164515548,164515548,6.974855342,6.974855342,6.974855342
1996,77,BRA,5166.163745,5166.163745,5166.163745,164515548,164515548,164515548,6.974855342,6.974855342,6.974855342
1996,969,BRA,5166.163745,5166.163745,5166.163745,164515548,164515548,164515548,6.974855342,6.974855342,6.974855342
1996,970,BRA,5166.163745,5166.163745,5166.163745,164515548,164515548,164515548,6.974855342,6.974855342,6.974855342
